Feature,Importance_High,Importance_Medium,Importance_Low
Loan Officer 1 -> Loan Officer 5,0.001962895032116423,-0.025236392497703923,5.4765692151178516e-05
Resource 3 -> Resource 3,-0.001752844526317163,5.758832541163236e-05,0.0005793326948862281
Resource 5 -> Resource 4,0.0017404292330841873,-0.0099343739062825,-0.00039574261830648385
Resource 2 -> Resource 5,-0.001627968782597275,0.00933922124295356,0.000341938130250975
Resource 3 -> Online System,-0.0014272403081194336,0.00026833365069021904,-0.00033950338642953985
Loan Officer 3 -> Loan Officer 1,-0.0013729567530934076,-0.0019666257686002117,0.0011033395317081626
Resource 1 -> Resource 2,0.0012203363380859662,-0.001442524737291085,0.004411778923032065
Resource 1 -> Resource 1,0.0012116445158667148,0.002910880946667724,0.004248599623446871
Loan Officer 5 -> Loan Officer 4,0.001204918285865109,-0.00835989179107584,-0.0067070720285394
Resource 1 -> Resource 5,-0.0011708791404072476,-0.021533387569231417,0.008087600257471085
CreditScore_High,0.0010772119493880606,0.0004364619915473159,1.6638801367221521e-06
Resource 4 -> Online System,0.001058268430915286,-0.0007949238497270122,0.0023874647878591323
Resource 5 -> Online System,-0.001044175423055144,0.00030148033243384257,-0.0001340671499350091
Resource 4 -> Resource 5,-0.0010126547249620329,0.005933026262371169,0.00017990901650838089
Hotline -> Resource 5,-0.0009563172009541598,0.00603451844542416,5.0125494769514515e-05
Resource 3 -> Resource 4,0.0008558663985403236,0.005862506531254004,0.005904608208637139
Hotline -> Resource 2,0.0008200239954117356,-0.0014509470438189855,-0.001627873866051242
Online System -> Loan Officer 4,0.0008189897566523163,-0.0015261467882464572,-0.0006764616398225192
Resource 5 -> Resource 5,0.0008166359013400505,0.002036817980284921,-0.001777992870508292
Online System -> Loan Officer 5,0.0007346944083776307,0.002550294682747437,-0.0013005679682481963
Online System -> Loan Officer 3,-0.0007128531496017033,0.0014859906765902643,-0.0005927911730683653
Hotline -> Hotline,-0.0007061153896182259,0.014002166017475623,-0.002415327990830941
Resource 1 -> Hotline,-0.0006656127105023493,0.003600528860268998,0.010138069623835655
Loan Officer 2 -> Loan Officer 3,-0.0006593123094729307,-0.010298333824431453,-0.001988673063268734
Resource 1 -> Resource 3,0.0006439652173228605,0.002977059184478861,-0.02059084137037838
Resource 3 -> Resource 2,0.0005985359800250217,0.0026117901527780004,0.0028161328805218827
Resource 2 -> Resource 4,0.00047595661206439746,-0.0018929591366595075,-0.001713015507867927
Resource 3 -> Resource 5,0.00042275099599978867,-5.177008833935413e-05,-0.005714793313911138
Resource 4 -> Resource 1,0.0003925023222158492,0.0014305379499295872,-6.564392163982326e-05
Resource 3 -> Resource 1,-0.0003890647708499196,0.003014305519402475,0.0052524326800677795
Resource 2 -> Resource 3,0.0003861914933000066,0.0012828806470607747,0.007418120225592438
Resource 1 -> Online System,0.0003821095395617557,0.004690241173324485,-0.00015680569707550898
Resource 5 -> Resource 2,-0.00037002888027776166,-0.003909986976791508,-0.0008525256427425245
CreditScore_Moderate,0.0003381752976268254,0.0009305934147352028,0.003811481816882247
Resource 2 -> Online System,0.0003214344063529177,-0.00032609957371740447,0.000366496990121602
case:yearsOfEducation,-0.00031430699222013134,0.000354659197406383,-7.405322604693871e-05
case:CreditScore,0.00021302573255883652,0.00082055252335154,-0.00032318059234111415
Online System -> Loan Officer 2,0.00020964947336833735,-0.00012510341471626702,0.0022997424610928852
Online System -> Loan Officer 1,-0.000203289930137515,-0.0028247049278261856,0.000993868093804189
case:age,-0.00018727434788535987,0.00028840971510597655,7.339139870097188e-05
case:gender,-0.00014535534719032798,0.0003860025915184091,-0.00016302568063478458
case:german speaking,-0.00012603880909086568,-0.0011279749231888725,0.00025874879758701466
CreditScore_Excellent,0.0001025362724247201,-0.0028974544078206226,-0.0011078914524722235
Loan Officer 5 -> Loan Officer 3,7.514896062488753e-05,0.0015306333018746457,-0.0019019040948571868
Loan Officer 3 -> Loan Officer 5,3.2457053670319726e-05,-0.004744126492139734,-0.001818184090067196
case:citizen,-7.078544427428367e-06,1.7564018476540695e-05,0.0005022456120303623
Hotline -> Online System,2.50616021719745e-06,0.0016489774751116005,-0.0003101319684413785
Request Appointment -> Set Appointment,0.0,0.0,0.0
Set Appointment -> Hand In Credit Appliaction,0.0,0.0,0.0
Hand In Credit Appliaction -> Verify Borrowers Information,0.0,0.0,0.0
CreditScore_Low,0.0,0.0,0.00792483251641758
